feature,coefficient,absolute_coefficient,selected
DNAJB4 (11080),0.04628194105656266,0.04628194105656266,True
SLC38A5 (92745),-0.03966195045963538,0.03966195045963538,True
SLAMF7 (57823),-0.03857348532466117,0.03857348532466117,True
ANKRD13C (81573),0.03791016929727425,0.03791016929727425,True
RORA (6095),0.03713474503727981,0.03713474503727981,True
EPHB6 (2051),-0.03571136322766224,0.03571136322766224,True
SH3TC2 (79628),-0.03535845102506704,0.03535845102506704,True
DENND2A (27147),0.034929657558307535,0.034929657558307535,True
PLCB4 (5332),0.033461273957310564,0.033461273957310564,True
MR1 (3140),-0.033182657659922316,0.033182657659922316,True
SPANXN5 (494197),0.0322468598359635,0.0322468598359635,True
COL9A2 (1298),0.03194869511611885,0.03194869511611885,True
CEBPE (1053),-0.03143257271445465,0.03143257271445465,True
GYS2 (2998),-0.03113447612263756,0.03113447612263756,True
RXFP2 (122042),0.03038113093100458,0.03038113093100458,True
LIPE (3991),-0.03033704229899565,0.03033704229899565,True
SH3TC1 (54436),-0.029521886835746337,0.029521886835746337,True
DNASE1L2 (1775),0.02949498833377319,0.02949498833377319,True
SMIM15 (643155),-0.028374181046002166,0.028374181046002166,True
HNRNPF (3185),-0.027802601779845577,0.027802601779845577,True
ZNF880 (400713),0.027644688902572292,0.027644688902572292,True
TAF7L (54457),-0.02693677667296934,0.02693677667296934,True
ZBTB44 (29068),0.025462765977122246,0.025462765977122246,True
SERPINF1 (5176),-0.024786100425383335,0.024786100425383335,True
ART4 (420),-0.02470298017565551,0.02470298017565551,True
UTRN (7402),0.023836437763220107,0.023836437763220107,True
ETV4 (2118),-0.023352441180039856,0.023352441180039856,True
H1-4 (3008),0.022821373062334036,0.022821373062334036,True
BTF3L4 (91408),0.02282012071109544,0.02282012071109544,True
CCDC167 (154467),0.022762103513026544,0.022762103513026544,True
SPINK1 (6690),-0.02266140512692611,0.02266140512692611,True
ARL1 (400),0.022602560593476522,0.022602560593476522,True
TM4SF20 (79853),-0.02259897716243855,0.02259897716243855,True
SLC45A3 (85414),-0.02259653003106386,0.02259653003106386,True
DCLK1 (9201),0.022281888677995024,0.022281888677995024,True
MAGEA9B (728269),0.022263308639691656,0.022263308639691656,True
GSTM3 (2947),0.022233322127372265,0.022233322127372265,True
C2CD6 (151254),-0.022175642983617617,0.022175642983617617,True
JPT2 (90861),0.022097270655058572,0.022097270655058572,True
DDX19B (11269),-0.022051740118146135,0.022051740118146135,True
HDC (3067),-0.02172389789655523,0.02172389789655523,True
OR52P1 (81248),0.02169192587726731,0.02169192587726731,True
BIRC7 (79444),-0.02143008405084258,0.02143008405084258,True
SYDE2 (84144),0.021403519939132382,0.021403519939132382,True
MGAM2 (93432),-0.021383497305932777,0.021383497305932777,True
GASK1B (51313),-0.02116623927008418,0.02116623927008418,True
ASB15 (142685),0.02086985329266854,0.02086985329266854,True
OR5AK2 (390181),-0.020293355041825712,0.020293355041825712,True
CNTNAP3B (728577),-0.020185275163602263,0.020185275163602263,True
RGS1 (5996),-0.019858739531035088,0.019858739531035088,True
KCNN4 (3783),-0.019793572954189112,0.019793572954189112,True
TULP3 (7289),0.01967089828195946,0.01967089828195946,True
